,ID,title,category,tags,content,sim_rec1,sim_rec2,sim_rec3,emo0,emo1,emo2,emo3,emo_rec1,emo_rec2,emo_rec3,comb_rec1,comb_rec2,comb_rec3
10,sm5600850,【ＰＶ】緋色月下、狂咲ノ絶(U.N.オーエンは彼女なのか？アレンジ曲),music_sound,EASTNEWSOUND NAYUTA U.N.オーエンハ彼女ナノカ? サラニ評価サレルベキ 東方アレンジPVリンク 東方ヴォーカル 緋色月下、狂咲ノ絶 音ゲー収録曲 音楽,"nayuta,ダスキン,フラン,原曲,あたい,歌詞,エコノミー,オーエン,宣伝,アレンジ,ひいろ,ケチャップ,葉月,pv,緋色,東方,血肉,げっか,月下,中毒",sm23171530,sm5733940,sm10150980,0.4212310902451747,0.2307424795687706,0.1966614501825769,0.1513649800034776,sm28754930,sm13715450,sm15751190,sm5733940,sm3200040,sm30964600
11,sm24957940,戦闘！ヒガナ【ポケモンORAS】,game,3DS オメガルビー・アルファサファイア ゲーム ゲーム音楽 ヒガナ ポケモン ポケモンBGMリンク ポケモンORAS 想像力ガ足リナイヨ 戦闘!伝承者ヒガナ 景山将太,"ヒガナ,想像力,ポケモン,レックウザ,赤字,ファルコム,bgm,テーマ,メガシンカ,シガナ,キャラ,ここ,好き,ポケダン,カガリ,もこう,厳選,そう,kh,ゴリラ",sm12742112,sm1412176,sm18473280,0.4219573400250941,0.1973651191969887,0.2316185696361355,0.1490589711417816,sm972890,sm3200040,sm29178450,sm18473280,sm1412176,sm12742112
12,sm13722470,ギャグ☆マギカ日和「魔法少女誕生」,anime,アニメ ギャグ☆マギカ日和 ギャグマンガ日和 ドウアガイテモマミサン ワルプル小学校 伝説ノ始マリ 佐倉杏子 安定ノサヤカ 魔法少女マドカ☆マギカ 魔法少女誕生,"お父さん,杏子,まどか,右クリック,ほむほむ,うさぎ,コピー,ラーメン,マミさん,名塚,マミ,あんこ,男子トイレ,おk,ホンミョンボ,マミった,魔法少女,妖精,親父,なのはさん",sm14264720,sm15177710,sm14834740,0.8299849321948769,0.0483843964506947,0.0775154863552653,0.0441151849991629,sm5505350,sm15356310,sm15874112,sm15177710,sm14834740,sm15356310
13,sm10306280,東方【超音質】「Bad Apple!!」【ヘッドホン推奨】,music_sound,ALSTROEMERIA_RECORDS BAD_APPLE!! BAD_APPLE!!_FEAT._NOMICO スクリプトアート ヘッドホン推奨 投稿者コメント 東方 東方アレンジ 音楽 高音質,"ロクデナシ,黄色,勉強,ろくでなし,音質,イヤホン,告白,ピンク,明日,宿題,覚醒,ヘッドホン,コメ,リア充,合格,gj,大阪大阪,オレンジ,ブニ,badapple",sm18631620,sm13612500,sm14703600,0.3770868770868771,0.1088326088326088,0.4706419706419706,0.0434385434385434,sm28345520,sm18393920,sm16881350,sm18631620,sm13612500,sm18393920
14,sm27137010,意地悪マリオメーカー【実況】part2,game,オトナニナルッテカナシイコトナノ クリボー ゲーム スーパーマリオメーカー マリオメーカー レトルト 実況プレイ動画 海ノ幸 自殺用パックンフラワー 虎ノ威ヲ借ルキノコ,"クリボー,コース,レト,レトルト,クッパ,ブロック,マリオ,意地悪,ステージ,キック,クリア,察し,海の幸,隠し,キノコ,孔明,にょう,ニャロメロン,怨念,ボー",sm27155810,sm27185070,sm27266160,0.6135365538620512,0.0985791785068457,0.2198915009041591,0.0679927667269439,sm30023930,sm20889720,sm29482160,sm27155810,sm27185070,sm28018250
15,sm24106810,【スクフェス】春の１年生限定勧誘グランプリ　後半【ゆっくり実況】,game,ガチャ動画 ゲーム スクフェス スクールアイドルフェスティバル ユックリ実況 ラブライブ! ラブライブ!MAD 実況プレイ 実況プレイ動画 課金観戦リンク,"ur,姫ちゃん,ドブ,ちん,かよ,ちゃん,まきちゃん,編集,りん,sr,マキ,ことり,のんたん,わし,矢澤,リリホワ,きた,まっき,扱い,出来レース",sm21291060,sm22230060,sm23313490,0.5865494841421475,0.1813144822315628,0.1937332823844096,0.03840275124188,sm26937870,sm24377110,sm2219100,sm21291060,sm22230060,sm24523100
16,sm22887980,【第12回MMD杯本選】弾幕注意報,game,GINZA時代ノ申シ子 MIKUMIKUDANCE MMD-BAND_EDITION MMDミリオン達成作品 MMD傑作選 MMD杯12本-風 東方 東方JAZZ 東方MMD 東方アレンジPVリンク 東方自機組,"魔理沙,霊夢,咲夜,妖夢,早苗,サックス,れいむ,トランペット,咲夜さん,楽器,gj,ドラム,みょん,ベース,演奏,早苗さん,扇風機,mmd,ブラボー,フルート",sm20065790,sm4622890,sm2219100,0.3161709337349397,0.3235128012048193,0.2693900602409638,0.0909262048192771,sm13628080,sm6875060,sm8228650,sm20065790,sm1031270,sm4622890
17,sm841041,ポケモンジムリーダー戦のBGMをギターだけで弾いてみた,music_sound,WATCH/1187117992←職人 ギター ジムリーダー ポケモン ポケモンBGMリンク ポケモン演奏シテミタ 演奏シテミタ,"ヒトカゲ,鈍痛,イワーク,かっけ,ピコーン,ピコン,げる,ライバル,レベル,ひっかく,光線,lv,人影,ポケモン,ギター,タケシ,タブ譜,うめ,初代,バタフリー",sm28916290,sm13691461,sm8229390,0.5212532865907099,0.1262050832602979,0.2870289219982471,0.0655127081507449,sm4310110,sm1842140,sm4902040,sm8229390,sm1105481,sm7289181
18,sm18682960,【4人で】いーあるふぁんくらぶ歌ってみた【まふ月コニー十】,music_sound,イーアルファンクラブ コニー(歌イ手) マフマフ マフ月コニー十 ユウ十 天月-アマツキ- 歌ッテミタ 歌ッテミタ伝説入リ,"みかちゃん,まふまふ,sim,天月,あまつき,ハッヤッホッタァー,ハイッ,ソーラン,コニー,ゆう十,im,ims,チャイナ,ms,imim,凹回,ワンリーホン,smi,こにたん,isms",sm19918800,sm18631620,sm23985500,0.3829512974275626,0.4819256851426329,0.1119766855349436,0.0231463318948607,sm17536640,sm13406580,sm28698420,sm23985500,sm30722500,sm19918800
19,sm5664150,【MAD】ルルーシュと学校の怪談6,anime,10万再生 2:43 アニメ ウマイ棒 ココマデオイデ〜 コードギアス ジャガイモン スザク ルルーシュト学校ノ怪談 今ノナシ 学校ノ怪談,"スザク,ルル,ギアス,ルルーシュ,うまい棒,クラピカ,すざく,ババサレ,ウザク,おまw,ブリキ,お前,じゃがいも,疑義,おまえ,ランスロット,変態,ジャガイモ,haha,サレ",sm5408420,sm10879860,sm3120540,0.7963427223123433,0.034065772010028,0.0750626751216634,0.0945288305559652,sm736760,sm5408420,sm4106190,sm5408420,sm4767230,sm1697040
20,so21334230,てーきゅう2期 第14面「先輩とワンス・アンド・フォーエバー」,anime,アニメ アーススター テーキュウ ルーツ 三森スズコ 投稿者コメント 渡部優衣 無料 花澤香菜 高宮ナスノ 鳴海杏子,"てーきゅう,なすの,ヤマノススメ,なす,cm,先輩,宣伝,高宮なすの,悶絶,テニス,半分,察し,ファッ,エロ,本編,アース,アニメ,アカン,爆死,うどん子",so19124990,so19177690,so19034120,0.5208068148438265,0.1075100362283364,0.2780769607363164,0.0936061881915206,sm7289181,sm27957580,sm20715461,so19124990,so19177690,so19034120
21,sm1842140,マリオの曲にあわせてドラムを叩いてみた,music_sound,VADRUM コメント<マイリスト チョットノイ氏 ドラム プロノ犯行 マリオ 叩イテミタ 演奏シテミタ 超時空要塞ドラムス 魔人,"ドラム,ほう,マリオ,シンバル,藤村,プロ,藤やん,dk,バスドラ,ドラマー,藤村d,タム,アシックス,ツインペダル,ツーバス,バス,下手,セット,アンパンマン,かっけ",sm4902040,sm13850060,sm7831420,0.5290299947377654,0.1312050517453078,0.2648658130152604,0.0748991405016663,sm841041,sm4310110,sm28018250,sm4902040,sm13850060,sm7831420
22,sm31978460,【実況】ポケットモンスターサトシバージョン part1-1,game,イマサラタウン ギリギリ名誉毀損 ポケットモンスターピカチュウバージョン ポケモン レオモン(実況者) 任天堂ゲーム配信 完結済ミ 実況プレイPART1リンク 実況プレイ動画 血ノ海,"ピカチュウ,ピカ,レオモン,イーブイ,ケンタロス,シゲル,サトシ,ポケモン,小栗旬,ピジョン,アニメ,テンポ,オダマキ,まっさら,トキワの森,オーキド,タケシ,コイキング,御三家,テレファング",sm24683018,sm29662026,sm7289181,0.4865470852017937,0.2186961021041738,0.2105898585719213,0.084166954122111,sm9510630,sm10521100,sm6792327,sm29662026,sm7289181,sm30741025
23,sm20900240,〜大人になったみんなへ〜  大切なものを探すアニソンメドレー50曲,anime,80年代生マレホイホイ 90年代ホイホイ アニソンメドレー アニメ 作業妨害用BGM 作業用BGM 大切ナナニカヲ思イ出スBGM 目カラハイドロポンプ,"きた,映画,好き,デジモン,なっつ,なつい,世代,初代,ドラえもん,アニメ,ジラーチ,ed,大人,犬夜叉,一番,コナン,ころ,op,ミニ四駆,ティガ",sm7564290,sm13406580,sm11045496,0.4469399213924761,0.2577038676222875,0.2314297981966509,0.0639264127885854,sm7564290,sm12742112,sm11045496,sm7564290,sm11045496,sm13609389
24,sm22078450,【実況】ポケモンスタジアム大決戦【最終回】,game,P-P キヨ ゲーム ツワハス ポケモンスタジアム ポケモンスタジアム金銀 レトルト レトルトボコボコシリーズ 実況プレイ動画 実況プレイ最終回リンク,"レト,レトルト,キヨ,論外,マッハ,タグ,ケンタロス,pp,フラグ,ピカチュウ,バッタン,クイズ,ドッスン,カポエラー,キャラメル,ぴぃぴぃ,グラバト,レトルトボコボコシリーズ,バッタ,わからん",sm23969030,sm22644540,sm22477690,0.7275061866741374,0.093710603726012,0.1483867955362562,0.0303964140635943,sm12772660,sm26336520,sm11325229,sm23969030,sm22477690,sm22644540
25,sm13850060,【オーケストラアレンジ】魔法少女まどか☆マギカOP「コネクト」Full Size,music_sound,オーケストラアレンジ ケイエム(K.M) コネクト ハーフミリオン 主コメ 管弦ノ理 音楽 魔法少女マドカ☆マギカ,"タグ,チェロ,右クリック,ホルン,ハープ,qb,バス,コピー,あたし,シンバル,契約,魔法少女,ラスボス,まどか,指揮者,フィナーレ,オーケストラ,gj,最終回,弾幕",sm13914810,sm14264720,sm15356310,0.528782045262466,0.1416095408019532,0.2297868344445487,0.099821579491032,so19034120,sm12332377,so19177690,sm13914810,sm1842140,sm14264720
26,sm2120510,東方VocalBGM −竹取飛翔-Vocal−【原曲竹取飛翔　～ Lunatic Princess】,game,SYNC.ART'S エコノミー回避 スキマツアー 東方 東方アレンジ 東方ヴォーカル 東方ヴォーカルミリオンリンク 竹取飛翔 蓬莱山輝夜,"本気出す,本気,輝夜,えーりん,orz,neet,ニート,ぐー,蓬莱,愚民,幻想郷,姬樣,輝代,幻想,てるよ,歌詞,市場,東方,明日,二次元",sm3200040,sm2107510,sm10601340,0.5660933660933661,0.1471130221130221,0.1934889434889435,0.0933046683046683,sm15887500,sm30597080,sm26038650,sm2107510,sm3200040,sm5733940
27,sm7831420,お父さんにナイト・オブ・ナイツを弾かせてみた,music_sound,ΒΒ時代ノ英傑 オヤジ・ハンパ・ナイツ ギター ナイト・オブ・ナイツ ナイト・オブ・ナイツ演奏者リンク ピッキングパパ 千剣 娘サン、オ父サンヲクダサイ 東方 演奏サセテミタ 演奏シテミタ,"お父さん,親父,耳コピ,華麗,かっけ,パパ,父さん,おやじ,わんこ,自慢,オヤジハンパナイツ,オヤジ,クリーン,ピッキング,タグ,倍速,ギター,ベンチャーズ,キングパパ,gj",sm13691461,sm19335770,sm7882150,0.5157567641088954,0.128565150976166,0.3256711795601498,0.0300069053547887,sm2732357,sm841041,sm11384474,sm13691461,sm841041,sm7882150
28,sm334140,ALI PROJECT 個人的に好きな曲集 No.3,music_sound,ALIPROJECT ALI_PROJECT アリプロ ハーフミリオン 作業妨害用BGM 作業用BGM 職人ニヨル作業妨害効率アップ 音楽,"職人,歌詞,あなた,獅子,whatshouldwedofortheworld,子安,見果てぬ夢,愛と誠,dd,嵐ヶ丘,アリプロ,きた,いつか,illgivewishtoallthepeople,目覚め,モコガレツツ,よう,グランギニョル,まほろば,好き",sm3207770,sm31791630,sm1579140,0.4285445597316698,0.2314974452211529,0.2314974452211529,0.1084605498260242,sm28019550,sm16024389,sm29178450,sm3207770,sm12742112,sm1579140
29,sm16620130,ブロじろう,anime,アニメ カラス コメント非表示推奨 シマシマトラノシマジロウ シマジロウ ブロジロウノ人 ブロリストノ末路 ブロリー ブロリーMAD殿堂入リ 破壊虎 笑撃ノラスト,"ブロリー,しまじろう,破壊,デデーン,ドラゴンボール,古館,ヤギ,血祭り,トリッピー,クズ,ぇい,バータ,やぎ,ドm,グルド,笑顔,ジド,パラガス,一星,みりん",sm21372190,sm12798100,sm4106190,0.7504308859014133,0.0388142019993105,0.1012064805239572,0.1095484315753188,sm17241370,sm17629610,sm5408420,sm21372190,sm12798100,sm4106190
30,sm6194690,【東方メドレー】幻想郷最速EUROBEAT!!! 【良音質】,music_sound,GRIP&BREAK_DOWN!! ユーロビート 作業妨害用BGM 幽雅ニ咲カセ、墨染ノ桜 曲ノスキマ妖怪 最初カラクライマックス 東方 東方EUROBEAT 溶接職人 赤符「速度超過」 音楽,"ホワァ,you,つなぎ,the,th,空耳,ing,to,me,けーね,now,in,ea,on,is,he,ni,nt,it,歌詞",sm8491290,sm2286030,sm4236176,0.505170185264972,0.2324429125376992,0.1956053425247738,0.0667815596725549,sm30960260,sm30590420,sm5818100,sm2286030,sm8491290,sm4236176
31,sm23313490,ラブライブ!　真姫ちゃんソロ全２５曲メドレー,anime,PILE Μ'S アニソンメドレー アニメ ラブライブ! ラブライブ!MAD 作業用BGM 溶接職人 西木野症候群 西木野真姫 驚異的ナ中毒性,"姫ちゃん,まきちゃん,まき,まきまき,pile,hshs,天使,きた,西木野真姫,好き,sr,最高,太もも,ur,かきくけこ,むね,覚醒,診察,ノーブラ,ヤバい",sm21291060,sm24106810,sm22230060,0.3114827534717037,0.4499029416156488,0.1745557712408541,0.0640585336717933,sm22122720,sm1261860,sm8889330,sm23985500,sm32352047,sm14703600
32,sm5206740,いろんなインデックス【とある魔術の禁書目録】,anime,アニメ アニメキャラ総集編シリーズ インデックス ステイルホイホイ トアル名場面セレクション トアル魔術ノ禁書目録 ヒロイン 上条当麻 井口裕香 投稿者コメント,"インデックス,先生,上条さん,rec,ステイル,合法ロリ,小萌先生,不幸,上条,ベランダ,長門,安全ピン,ヒロイン,フラグ,名言,インなんとかさん,イン,子萌,事後,ロリ",sm6348750,sm11613020,sm14315840,0.5802286978974548,0.1907045370711914,0.1444116562154186,0.084655108815935,sm30693030,sm4214377,sm2107510,sm6348750,sm2219100,sm12374084
33,sm7564290,【懐かしい神曲集】20代全員かかってこいやああ!ほえ～///(アニソン),music_sound,アニソン メドレー 作業用BGM 新作→SM11921920 音楽,"きた,nhk,アニメ,なつい,デジモン,好き,ed,作業,進化,無限大,神曲,なっつ,漫画,きたあ,ktkr,キター,op,なつ,大好き,ジョグレス",sm13406580,sm20900240,sm11045496,0.4569476468674409,0.2462407876310242,0.2332267692699418,0.0635847962315929,sm20900240,sm11045496,sm2427600,sm20900240,sm11045496,sm12742112
34,sm36676440,【たべるんごのうた】Eat Apple!!　のうた【full】,game,BAD_APPLE!!_FEAT._NOMICO アイドルマスター アイドルマスター_シンデレラガールズ タベルンゴノウタ 人力VOCALOID 最上リバー三姉妹 東方 東方食林檎 殿堂入リンゴ 第141回音MAD晒シイベント 辻野アカリ,"りんご,山形,草草,さくらんぼ,ノルマ,リンゴ,フル,ノルマ達成,ろう,芋煮,スレマ,ここ,バンドリ,素材,歌詞,辻野あかり,公式,職人,語彙力,青森",sm36210300,sm37601190,sm31791630,0.4203754482176756,0.2218941151655769,0.2811643113267243,0.0765661252900232,sm2286030,sm14961420,sm30077041,sm36210300,sm12742112,sm334140
35,sm27998129,【まとめ】13話～14話 カラ松ver.【おそ松さん】,anime,※成人男性デス アニメ オソ松サン オソ松サンマトメ動画 オソ松サン殿堂入リ カラ松 カラ松ガールズノ聖地 ヘックチ☆ ヤメルンダー 中村悠一 集団骨折,"カラ松,トッティ,一松,カラ子,十四松,チョロ松,カラ,ここ,クロス,あーむ,看病,兄さん,トド子,おそ松,トド松,中村,エコー,おまいう,十四子,座り方",sm28589350,sm28185620,sm27762357,0.5367952947927127,0.2273705350738775,0.1497633051212164,0.0860708650121933,sm25862600,sm4214377,sm2107510,sm28185620,sm28589350,sm27762357
36,sm18393920,インド人類は繁栄しました,anime,700万再生 アニメ ナントカレーナ踊リ ナンニデモ合ウ リアルワールド 人類ハ衰退シマシタ 元気ガ出ル動画 繁栄ダンス 違和感ガ行方不明 重要ニコニコ文化財 驚異的ナ中毒性,"インド,よう,合格,oc,繁栄,衰退,ストレート,ミリオン,テスト,明日,受験,祈願,ドド,インド人,元気,カレー,完全に一致,ワワ,高校,願い",sm18502460,sm2406770,sm8228650,0.3619788032279515,0.1840063705248294,0.4078367306729277,0.0461780955742913,sm16881350,sm18631620,sm16719480,sm10306280,sm2069100,sm18502460
37,sm2074910,第2回東方M-1ぐらんぷり『パチュみりん』動画ver,game,RC2時代ノ怪傑 イエロ～ゼブラ エンターテイメント パチュミリン パチュリー・ノーレッジ 東方 東方M-1グランプリ 第2回東方M-1グランプリ 紅美鈴,"パチェ,ピンク,好きだ,魔理沙,パラッパ,中国,パチュリー,公開処刑,フラン,パチュ,ja,ぱちゅ,アコーディオン,jaoo,うめ,rec,うめぇ,日陰,wwjaoo,full",sm2219100,sm20065790,sm1105481,0.6723204872906173,0.2059739955487876,0.0943422748037952,0.0273632423567998,sm13260750,sm3439870,sm25424040,sm2219100,sm11325229,sm278840
38,sm2024200,あの声優たちの過去と最近を比較してみたpart2,anime,アニメ 堀江由衣 小野大輔 広橋涼 後藤邑子 水樹奈々 田村ユカリ 白石稔,"白石,たまちゃん,ジャイアン,のらみみ,谷口,広橋,チョイス,灰羽,赤坂,山ちゃん,大運動会,般若,小野d,ほっちゃん,ゴトゥーザ様,ゆかりん,きた,梨花,みなみけ,ゴットゥーザ様",sm15887500,so27026038,sm1660710,0.6418070185320791,0.1092209767363262,0.1957415648059483,0.0532304399256463,sm23756820,sm24216260,sm23807389,sm15887500,sm9063970,sm11794550
39,sm19856000,【初音ミク】THE WORLDS【オリジナルジェットコースターPV】,music_sound,DAM&AMP;JOY配信中 M.S.SPROJECT MINECRAFT THE_WORLDS VOCALOID VOCALOID伝説入リ トリプルミリオン予備軍 ミクオリジナル曲 初音ミク 初音ミク名曲リンク 実況界カラノ刺客,"mssp,fb,きっく,ギター,歌詞,ミリオン,マイクラ,ミク,ジェットコースター,作詞,トロッコ,mod,コースター,感動,テクスチャ,最高,綺麗,ここ,調教,gj",sm23171530,sm10150980,sm19625630,0.2651205472595311,0.37202803036623,0.3156336030699925,0.0472178193042462,sm17064620,sm23171530,sm19577010,sm23171530,sm17064620,sm10150980
40,sm20540100,ココロジョジョル第2部,anime,アニメ ココニ「神殿」ヲ建テヨウ ココロオドル ココロジョジョル ジョジョMAD ジョジョノ奇妙ナ冒険 ジョジョノ奇妙ナ冒険(アニメ) 戦闘潮流 重要ジョジョ文化財 音MAD,"ブニ,世界一,シーザー,ザァ,うれ,負け犬,波紋,なのだ,吉良,シュート,gj,ツェペリ,スト様,jojo,ジョジョ,ハッピー,カーズ,砂嵐,サンタナ,考えるのをやめた",sm19650590,sm19817730,sm20810930,0.4686353388444366,0.2239511957915211,0.2331903983024623,0.0742230670615799,sm9510630,sm2427600,sm311320,sm20810930,sm19817730,sm4622890
41,sm22427120,あかちゃんびより,anime,アカチョン アニメ ノンノンビヨリ ノンノンビヨリマトメリンク 佐藤利奈 加賀山楓 声優ノ本気 宮内レンゲ 小岩井コトリ 納得ノ感動 駄菓子屋,"駄菓子屋,れんちょん,れんげ,おしゃぶり,赤ちゃん,モーション,ガラガラ,シネ,育児,にゃんぱすー,世話,ミルク,赤ん坊,爆弾,田舎,かげ,ヘルウルフ,キルミー,セミ,のん",sm24089090,sm22427900,sm29324276,0.475086179880915,0.2546223754308994,0.185051707928549,0.0852397367596364,sm5285040,sm11509720,sm28589350,sm24089090,sm22427900,sm30960260
42,sm19650590,【Part.1】スピードワゴンがまどか☆マギカを解説ゥッ！【マミ編】,anime,MAD アニメ ジョジョMAD ジョジョノ奇妙ナ冒険(アニメ) スピードワゴン実況シリーズ マドカ☆マギカMADリンク ロバート・E・O・スピードワゴン 深刻ナ素材過多 解説王 魔法少女マドカ☆マギカ,"万能,マリオ,波紋,マリク,マミさん,解説,spw,静か,ジョジョ,マジカ,ゾンビ,石仮面,ed,スピードワゴン,中の人,キラークイーン,フラグ,wwedww,ザワールド,バァーン",sm19817730,sm20540100,sm12600360,0.8205547976352887,0.0352887676216462,0.0844020009095043,0.0597544338335607,sm12798100,sm15177710,sm14834740,sm19817730,sm4767230,sm16207490
43,sm1105481,ポケモン - 戦い(VSトレーナー),music_sound,エレキタイプ ギタリスト ギター ダークトリニティ ポケモン ポケモンBGMリンク レア黒子イル 演奏シテミタ 炊飯器 納得ノ再現率,"炊飯器,スカイフィッシュ,ワンカップ,黒子,かっけ,自演,ポケモン,鳥の詩,こうか,うめ,炊飯ジャー,ばつぐん,まさこ,ピカチュウ,イル,ギター,国歌,国家,エコノミー,うめぇ",sm18220165,sm841041,sm29776010,0.5870789197442504,0.09294780036263,0.2913445939498044,0.0286286859433152,sm25425760,sm11794550,sm7831420,sm841041,sm18220165,sm29776010
